gender_2,gender_3,engnat_2,hand_2,hand_3,religion_group_Christian,religion_group_Muslim,religion_group_Other Religion,orientation_2,orientation_3,orientation_4,orientation_5,race_group_Other,race_group_White,voted_2,married_2,married_3,Q1A,Q2A,Q4A,Q6A,Q7A,Q8A,Q9A,Q11A,Q12A,Q14A,Q15A,Q18A,Q19A,Q20A,Q22A,Q23A,Q25A,Q27A,Q28A,Q29A,Q30A,Q32A,Q33A,Q35A,Q36A,Q39A,Q40A,Q41A,TIPI1,TIPI2,TIPI3,TIPI4,TIPI5,TIPI6,TIPI7,TIPI8,TIPI9,TIPI10,education,urban,familysize,age_group
1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.3778194831016711,0.7663095019276587,-0.8984346334623431,0.44858939476054516,0.1014026858928699,-0.4347273069670904,1.2577911443453826,0.19414248163716902,0.5637538389534746,-0.5288642582490599,-0.8302025428967854,0.49387327018451216,1.958976726480911,0.6299261747885601,-0.30991560533702095,-0.6338645160453271,-1.0844379079292208,-0.5789445739260909,-1.115135485595484,0.34155996706600195,-0.35605834106931744,-0.4261100180344108,-0.37143945962468333,1.725651221030687,0.6830140300411264,-0.42848095471768055,-0.5840230572187142,0.06378648199299171,0.10166971376034657,0.43873879933431875,0.13291898259548937,1.0104003997795188,-1.749471450688653,0.6006541391546456,-0.20384714734463016,0.35797112808281567,0.7446596695016653,0.6598823136445428,-0.668700665523963,0.9785362812585158,-0.27829921921843764,-0.20235224659832515
0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.5962410098902392,-1.041248010254046,-0.8984346334623431,-1.4643811172061139,1.0820893090850718,-0.4347273069670904,-0.6177043777371539,-0.7623746528859022,0.5637538389534746,0.3970049558685604,1.2347779427924859,-0.44887002330488784,-0.8687238883042481,0.6299261747885601,-0.30991560533702095,0.5645199174204366,-1.0844379079292208,-0.5789445739260909,0.7633880015634366,0.34155996706600195,-1.2881972399627994,-0.4261100180344108,0.5902122618617273,-0.28766025569060377,0.6830140300411264,-0.42848095471768055,-0.5840230572187142,-0.9050853796102564,0.6337544936796711,0.43873879933431875,0.13291898259548937,-1.2236418366016122,0.03214142182369906,0.0689352013749914,-0.8453328765438896,0.35797112808281567,1.2994226948303558,0.6598823136445428,0.5232031580802877,-1.6081119784258302,-0.27829921921843764,1.1334078742606168
0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,-1.5703015028821494,-1.041248010254046,2.0122064626946217,1.4050746507438747,-0.8792839372993321,1.4730488427302113,0.32004338330411436,0.19414248163716902,1.5090885144043316,-0.5288642582490599,0.2022876999478503,-0.44887002330488784,-0.8687238883042481,1.5312723359163876,1.6539642791315354,0.5645199174204366,-0.1529272401558532,0.37801228913357354,0.7633880015634366,1.291485715031069,-1.2881972399627994,1.5514306092955301,1.551863983348138,1.725651221030687,1.591246307032044,0.5577288080766728,1.2289633519846435,-0.9050853796102564,-0.9624998460783025,-1.2285959081213946,-2.123772050509834,-0.1066207184110466,0.6260123793278164,0.6006541391546456,-0.20384714734463016,0.35797112808281567,-0.9196294064844064,-1.5182712699356995,0.5232031580802877,0.9785362812585158,-0.8106121125820059,1.1334078742606168
0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5962410098902392,-0.1374692541631937,-0.8984346334623431,-1.4643811172061139,-0.8792839372993321,-0.4347273069670904,0.32004338330411436,-0.7623746528859022,-0.38158083649738206,0.3970049558685604,-0.8302025428967854,-0.44887002330488784,0.07384298329080499,-0.2714199863392674,-1.2918555475712992,-0.6338645160453271,-1.0844379079292208,0.37801228913357354,-1.115135485595484,0.34155996706600195,-1.2881972399627994,0.5626602956305596,-1.333091181111094,-0.28766025569060377,-1.1334505239407087,-0.42848095471768055,-0.5840230572187142,-0.9050853796102564,-0.43041506615897795,-1.2285959081213946,0.6970917408718201,1.0104003997795188,0.03214142182369906,1.1323730769343,0.4376385818546292,0.8724526708995614,0.18989664417297472,1.2044207095396033,0.5232031580802877,0.9785362812585158,0.786326567508699,-0.20235224659832515
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.3778194831016711,-1.041248010254046,0.07177906525664524,-0.5078958612227844,-0.8792839372993321,-0.4347273069670904,-0.6177043777371539,1.1506596161602403,-1.3269155119482388,0.3970049558685604,0.2022876999478503,1.436616563673912,0.07384298329080499,-0.2714199863392674,-1.2918555475712992,-0.6338645160453271,-1.0844379079292208,1.334969152193238,-0.17587374201602374,-0.6083657808990651,-0.35605834106931744,0.5626602956305596,-0.37143945962468333,-0.28766025569060377,-1.1334505239407087,0.5577288080766728,0.3224701473829647,-0.9050853796102564,-0.43041506615897795,0.43873879933431875,0.13291898259548937,-0.6651312775063294,0.03214142182369906,0.0689352013749914,0.4376385818546292,0.8724526708995614,-0.3648663811557158,1.7489591054346638,-0.668700665523963,-0.3147878485836572,-0.8106121125820059,-1.5381123674572672
1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.5962410098902392,-0.1374692541631937,0.07177906525664524,-1.4643811172061139,1.0820893090850718,-0.4347273069670904,0.32004338330411436,-0.7623746528859022,-0.38158083649738206,-0.5288642582490599,1.2347779427924859,-0.44887002330488784,-0.8687238883042481,-0.2714199863392674,0.6720243368972573,-0.6338645160453271,-0.1529272401558532,-0.5789445739260909,-0.17587374201602374,-0.6083657808990651,-0.35605834106931744,-1.4148803316993812,-0.37143945962468333,-0.28766025569060377,0.6830140300411264,-0.42848095471768055,1.2289633519846435,0.06378648199299171,-1.494584625997627,-0.6728176723028235,0.6970917408718201,-0.6651312775063294,-1.749471450688653,0.6006541391546456,0.4376385818546292,-1.699955043184167,-1.4743924318130968,0.6598823136445428,0.5232031580802877,-0.3147878485836572,-0.8106121125820059,-0.20235224659832515
1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.3778194831016711,-0.1374692541631937,0.07177906525664524,-0.5078958612227844,-0.8792839372993321,-1.3886153818157412,0.32004338330411436,1.1506596161602403,0.5637538389534746,-0.5288642582490599,0.2022876999478503,-1.391613316794288,0.07384298329080499,0.6299261747885601,-1.2918555475712992,-0.6338645160453271,-0.1529272401558532,1.334969152193238,-0.17587374201602374,-0.6083657808990651,1.5082194567176463,1.5514306092955301,-0.37143945962468333,0.7189954826700417,0.6830140300411264,1.5439385708710263,0.3224701473829647,-0.9050853796102564,-1.494584625997627,-1.7843741439399659,-1.5595992922335031,0.45188984068423615,0.03214142182369906,1.1323730769343,-0.20384714734463016,-0.15651041473393,-0.9196294064844064,0.6598823136445428,-0.668700665523963,0.9785362812585158,-0.8106121125820059,-0.20235224659832515
1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.3778194831016711,-1.041248010254046,-0.8984346334623431,-1.4643811172061139,-0.8792839372993321,-0.4347273069670904,-0.6177043777371539,-0.7623746528859022,-0.38158083649738206,-1.4547334723666803,-0.8302025428967854,-0.44887002330488784,-0.8687238883042481,-1.172766147467095,-0.30991560533702095,-0.6338645160453271,-1.0844379079292208,-1.5359014369857553,-1.115135485595484,-0.6083657808990651,-0.35605834106931744,-0.4261100180344108,-0.37143945962468333,-1.2943159940512492,-0.22521824694979112,-0.42848095471768055,-0.5840230572187142,2.001530205199488,-0.43041506615897795,0.9945170351528899,0.6970917408718201,-0.1066207184110466,1.2198833368319337,0.0689352013749914,0.4376385818546292,-0.15651041473393,-0.3648663811557158,-1.5182712699356995,-0.668700665523963,-0.3147878485836572,2.383265247599404,-0.20235224659832515
1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.5962410098902392,-0.1374692541631937,-0.8984346334623431,-1.4643811172061139,-0.8792839372993321,-0.4347273069670904,0.32004338330411436,0.19414248163716902,0.5637538389534746,0.3970049558685604,0.2022876999478503,-1.391613316794288,-0.8687238883042481,-0.2714199863392674,-0.30991560533702095,-0.6338645160453271,-0.1529272401558532,-0.5789445739260909,-1.115135485595484,-0.6083657808990651,-0.35605834106931744,-0.4261100180344108,0.5902122618617273,-1.2943159940512492,-1.1334505239407087,-1.414690717512034,-0.5840230572187142,-0.9050853796102564,-1.494584625997627,-1.2285959081213946,-0.43125377568084144,-0.1066207184110466,0.03214142182369906,0.6006541391546456,-0.8453328765438896,-0.6709919575506756,-0.3648663811557158,0.11534391774948217,0.5232031580802877,-0.3147878485836572,-0.8106121125820059,1.1334078742606168
1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5962410098902392,0.7663095019276587,0.07177906525664524,-1.4643811172061139,0.1014026858928699,-0.4347273069670904,1.2577911443453826,-1.7188917874089733,-0.38158083649738206,-1.4547334723666803,0.2022876999478503,-0.44887002330488784,0.07384298329080499,1.5312723359163876,-0.30991560533702095,0.5645199174204366,-0.1529272401558532,0.37801228913357354,0.7633880015634366,-1.5582915288641321,1.5082194567176463,-0.4261100180344108,-0.37143945962468333,-0.28766025569060377,1.591246307032044,0.5577288080766728,0.3224701473829647,1.0326583435962398,0.10166971376034657,-0.1170394364842524,-1.5595992922335031,-0.6651312775063294,0.03214142182369906,-0.994502674184317,-0.20384714734463016,0.8724526708995614,-0.3648663811557158,0.11534391774948217,0.5232031580802877,-0.3147878485836572,0.786326567508699,-0.20235224659832515
1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.3518799760935813,-0.1374692541631937,0.07177906525664524,1.4050746507438747,0.1014026858928699,0.5191607678815604,0.32004338330411436,1.1506596161602403,0.5637538389534746,1.3228741699861806,-0.8302025428967854,1.436616563673912,1.016409854885858,-0.2714199863392674,-0.30991560533702095,0.5645199174204366,-0.1529272401558532,1.334969152193238,-0.17587374201602374,0.34155996706600195,-1.2881972399627994,0.5626602956305596,0.5902122618617273,0.7189954826700417,-0.22521824694979112,-0.42848095471768055,0.3224701473829647,0.06378648199299171,1.1658392735989955,0.9945170351528899,0.13291898259548937,1.0104003997795188,1.2198833368319337,-0.994502674184317,0.4376385818546292,0.35797112808281567,-0.9196294064844064,-0.973732874040639,0.5232031580802877,0.9785362812585158,-0.27829921921843764,-0.20235224659832515
1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,-1.5703015028821494,-1.041248010254046,-0.8984346334623431,-0.5078958612227844,0.1014026858928699,0.5191607678815604,-1.5554521387784221,0.19414248163716902,-0.38158083649738206,0.3970049558685604,-0.8302025428967854,0.49387327018451216,-0.8687238883042481,-1.172766147467095,-0.30991560533702095,-0.6338645160453271,-1.0844379079292208,-0.5789445739260909,-1.115135485595484,0.34155996706600195,-0.35605834106931744,-0.4261100180344108,-0.37143945962468333,-0.28766025569060377,0.6830140300411264,-0.42848095471768055,-0.5840230572187142,-0.9050853796102564,-0.43041506615897795,-0.6728176723028235,0.6970917408718201,-0.1066207184110466,-1.1556004931845356,-0.994502674184317,1.0791243110538886,0.35797112808281567,-0.3648663811557158,-2.06280966583076,-0.668700665523963,0.9785362812585158,1.3186394608722674,-0.20235224659832515
1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3778194831016711,-0.1374692541631937,0.07177906525664524,-0.5078958612227844,1.0820893090850718,-0.4347273069670904,1.2577911443453826,0.19414248163716902,0.5637538389534746,0.3970049558685604,-0.8302025428967854,0.49387327018451216,1.016409854885858,0.6299261747885601,0.6720243368972573,-0.6338645160453271,-0.1529272401558532,0.37801228913357354,-0.17587374201602374,0.34155996706600195,-0.35605834106931744,-0.4261100180344108,-0.37143945962468333,-0.28766025569060377,0.6830140300411264,0.5577288080766728,1.2289633519846435,1.0326583435962398,0.6337544936796711,0.9945170351528899,1.261264499148151,-0.1066207184110466,0.6260123793278164,-1.5262216119639713,-0.8453328765438896,-0.6709919575506756,-0.9196294064844064,-0.973732874040639,0.5232031580802877,-0.3147878485836572,1.3186394608722674,-0.20235224659832515
1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5962410098902392,-0.1374692541631937,0.07177906525664524,-0.5078958612227844,-0.8792839372993321,-0.4347273069670904,-0.6177043777371539,-0.7623746528859022,-0.38158083649738206,0.3970049558685604,0.2022876999478503,-0.44887002330488784,0.07384298329080499,-1.172766147467095,-0.30991560533702095,0.5645199174204366,-0.1529272401558532,-0.5789445739260909,-0.17587374201602374,-0.6083657808990651,-0.35605834106931744,1.5514306092955301,-0.37143945962468333,-0.28766025569060377,-0.22521824694979112,-0.42848095471768055,-0.5840230572187142,-0.9050853796102564,0.6337544936796711,0.9945170351528899,0.6970917408718201,-1.2236418366016122,1.2198833368319337,-1.5262216119639713,1.0791243110538886,0.8724526708995614,0.7446596695016653,-0.973732874040639,0.5232031580802877,-0.3147878485836572,-0.8106121125820059,1.1334078742606168
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,-1.5703015028821494,0.7663095019276587,2.0122064626946217,-0.5078958612227844,0.1014026858928699,1.4730488427302113,1.2577911443453826,-0.7623746528859022,-1.3269155119482388,1.3228741699861806,0.2022876999478503,-0.44887002330488784,-0.8687238883042481,1.5312723359163876,1.6539642791315354,2.9612887843519635,-1.0844379079292208,1.334969152193238,-1.115135485595484,1.291485715031069,-0.35605834106931744,-1.4148803316993812,1.551863983348138,-1.2943159940512492,-0.22521824694979112,0.5577288080766728,0.3224701473829647,0.06378648199299171,-1.494584625997627,-1.2285959081213946,-2.123772050509834,-1.7821523956968948,-1.749471450688653,1.1323730769343,0.4376385818546292,-0.15651041473393,1.2994226948303558,0.11534391774948217,-1.8606044891282136,0.9785362812585158,-1.3429250059455744,-1.5381123674572672
1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.3778194831016711,-0.1374692541631937,0.07177906525664524,-0.5078958612227844,0.1014026858928699,0.5191607678815604,0.32004338330411436,0.19414248163716902,1.5090885144043316,-0.5288642582490599,-0.8302025428967854,0.49387327018451216,1.016409854885858,-0.2714199863392674,-0.30991560533702095,-0.6338645160453271,0.7785834276175144,0.37801228913357354,-0.17587374201602374,0.34155996706600195,-0.35605834106931744,-0.4261100180344108,0.5902122618617273,-0.28766025569060377,-0.22521824694979112,0.5577288080766728,1.2289633519846435,2.001530205199488,-1.494584625997627,-1.7843741439399659,0.13291898259548937,-0.1066207184110466,0.03214142182369906,0.6006541391546456,1.0791243110538886,-0.15651041473393,-0.9196294064844064,-1.5182712699356995,-0.668700665523963,-0.3147878485836572,-0.8106121125820059,-1.5381123674572672
1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,-0.5962410098902392,-1.041248010254046,0.07177906525664524,0.44858939476054516,0.1014026858928699,-0.4347273069670904,0.32004338330411436,-0.7623746528859022,0.5637538389534746,-0.5288642582490599,-0.8302025428967854,-0.44887002330488784,-0.8687238883042481,1.5312723359163876,0.6720243368972573,-0.6338645160453271,0.7785834276175144,-0.5789445739260909,0.7633880015634366,-0.6083657808990651,-0.35605834106931744,-1.4148803316993812,-0.37143945962468333,-0.28766025569060377,-0.22521824694979112,-0.42848095471768055,0.3224701473829647,0.06378648199299171,-0.43041506615897795,0.43873879933431875,-0.43125377568084144,-0.6651312775063294,0.03214142182369906,0.0689352013749914,-1.486818605743149,0.35797112808281567,-0.3648663811557158,0.11534391774948217,-0.668700665523963,-0.3147878485836572,-0.27829921921843764,1.1334078742606168
1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.3778194831016711,-0.1374692541631937,-0.8984346334623431,-0.5078958612227844,-0.8792839372993321,-1.3886153818157412,-0.6177043777371539,-0.7623746528859022,-1.3269155119482388,-0.5288642582490599,-0.8302025428967854,-0.44887002330488784,-0.8687238883042481,-1.172766147467095,-0.30991560533702095,-0.6338645160453271,-1.0844379079292208,-0.5789445739260909,-1.115135485595484,-1.5582915288641321,-1.2881972399627994,-1.4148803316993812,-1.333091181111094,-1.2943159940512492,-1.1334505239407087,-0.42848095471768055,0.3224701473829647,-0.9050853796102564,1.6979240535183202,-0.6728176723028235,0.13291898259548937,-0.6651312775063294,0.03214142182369906,-2.0579405497436256,1.0791243110538886,-0.15651041473393,0.7446596695016653,-0.4291944781455784,1.7151069816845383,0.9785362812585158,0.786326567508699,1.1334078742606168
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,-0.5962410098902392,0.7663095019276587,-0.8984346334623431,-0.5078958612227844,1.0820893090850718,0.5191607678815604,1.2577911443453826,-0.7623746528859022,1.5090885144043316,1.3228741699861806,1.2347779427924859,0.49387327018451216,-0.8687238883042481,-0.2714199863392674,0.6720243368972573,-0.6338645160453271,-0.1529272401558532,1.334969152193238,1.702649745142897,-0.6083657808990651,1.5082194567176463,1.5514306092955301,0.5902122618617273,0.7189954826700417,-1.1334505239407087,1.5439385708710263,0.3224701473829647,0.06378648199299171,0.6337544936796711,-0.1170394364842524,-0.43125377568084144,1.0104003997795188,1.2198833368319337,-1.5262216119639713,1.0791243110538886,-0.6709919575506756,0.18989664417297472,1.2044207095396033,-0.668700665523963,-1.6081119784258302,-0.8106121125820059,1.1334078742606168
1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5962410098902392,-0.1374692541631937,0.07177906525664524,0.44858939476054516,-0.8792839372993321,1.4730488427302113,0.32004338330411436,0.19414248163716902,0.5637538389534746,-0.5288642582490599,0.2022876999478503,1.436616563673912,0.07384298329080499,0.6299261747885601,0.6720243368972573,0.5645199174204366,0.7785834276175144,0.37801228913357354,0.7633880015634366,0.34155996706600195,0.5760805578241645,-0.4261100180344108,1.551863983348138,-0.28766025569060377,0.6830140300411264,0.5577288080766728,-0.5840230572187142,-0.9050853796102564,0.6337544936796711,-0.6728176723028235,-2.123772050509834,0.45188984068423615,1.2198833368319337,0.0689352013749914,-0.8453328765438896,0.35797112808281567,0.18989664417297472,-0.4291944781455784,1.7151069816845383,0.9785362812585158,-1.3429250059455744,-0.20235224659832515
1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.5962410098902392,-1.041248010254046,-0.8984346334623431,-0.5078958612227844,-0.8792839372993321,-1.3886153818157412,-0.6177043777371539,-1.7188917874089733,-1.3269155119482388,-0.5288642582490599,-0.8302025428967854,-0.44887002330488784,-0.8687238883042481,-1.172766147467095,-1.2918555475712992,-0.6338645160453271,-1.0844379079292208,-0.5789445739260909,-1.115135485595484,-0.6083657808990651,-0.35605834106931744,-0.4261100180344108,-1.333091181111094,-0.28766025569060377,-0.22521824694979112,-0.42848095471768055,-0.5840230572187142,-0.9050853796102564,-0.9624998460783025,0.43873879933431875,0.6970917408718201,-1.7821523956968948,0.6260123793278164,-0.994502674184317,-0.20384714734463016,0.35797112808281567,0.7446596695016653,-0.4291944781455784,0.5232031580802877,-0.3147878485836572,-0.8106121125820059,-0.20235224659832515
1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.3778194831016711,0.7663095019276587,1.0419927639756335,0.44858939476054516,1.0820893090850718,0.5191607678815604,1.2577911443453826,0.19414248163716902,1.5090885144043316,0.3970049558685604,1.2347779427924859,-0.44887002330488784,0.07384298329080499,1.5312723359163876,0.6720243368972573,0.5645199174204366,1.710094095390882,0.37801228913357354,0.7633880015634366,-0.6083657808990651,1.5082194567176463,0.5626602956305596,-0.37143945962468333,-0.28766025569060377,-0.22521824694979112,0.5577288080766728,1.2289633519846435,1.0326583435962398,0.6337544936796711,-0.6728176723028235,0.13291898259548937,0.45188984068423615,0.03214142182369906,-1.5262216119639713,1.0791243110538886,0.35797112808281567,-0.3648663811557158,-0.4291944781455784,-0.668700665523963,-0.3147878485836572,1.8509523542358357,-0.20235224659832515
